Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
12,11,1,1,3,2,14,6,0,2,7,6,0,1,3,13,1,0,13,1,1,1,1,1,1,1,5,0,1592.0275
12,12,1,1,3,2,14,6,0,2,7,6,0,1,3,13,1,11,13,1,1,1,1,1,6,0,8,1,1891.474
12,13,1,1,3,2,14,6,0,2,7,6,0,1,3,13,1,11,13,1,1,1,1,1,6,0,8,1,1871.028
12,14,1,1,2,2,14,3,1,2,11,6,0,1,3,10,1,11,13,3,1,1,1,1,6,0,1,1,1393.9766666666667
0,13,9,1,3,2,14,3,0,2,1,6,0,6,3,5,1,9,11,3,0,1,1,1,8,1,9,1,2403.1166666666663
20,12,1,1,2,2,14,6,1,2,1,6,7,1,3,7,1,7,13,1,1,1,1,1,1,1,4,0,1213.8
18,14,1,1,5,2,7,2,1,2,1,4,7,1,3,5,1,5,12,1,1,2,1,1,1,1,5,0,1328.7
12,10,9,1,3,2,14,1,0,2,1,6,0,6,2,4,1,1,12,3,0,1,1,1,8,1,9,1,2186.046
12,14,13,1,3,2,15,1,0,2,1,6,0,11,2,19,1,1,12,1,1,1,1,1,6,1,9,1,2588.4466666666667
18,10,1,1,5,2,16,2,1,2,1,6,7,1,3,5,1,5,12,1,1,1,1,1,1,1,5,0,1356.9475
7,13,9,1,6,2,13,1,0,2,2,6,3,11,2,1,1,11,10,3,0,1,2,1,8,1,6,1,2285.524
4,6,1,1,3,2,16,1,1,2,8,6,7,1,3,4,0,1,12,1,1,1,0,1,1,1,5,0,1944.85
5,13,1,1,2,2,16,6,1,2,8,6,7,1,3,7,1,11,12,1,1,1,0,1,1,0,6,1,1116.536
5,14,1,1,2,2,16,6,1,2,8,6,7,1,3,5,1,14,12,1,1,1,0,1,1,0,4,0,1453.8266666666666
